var_name,dc_logic,filtrage,repeat_permut,random_permut,load_general_exception_filters,accuracy,DP,OP,f1,precision,recall,confusion_matrix,Number_rules,Number_conditions,Average_conditions_per_rule,Std_conditions_per_rule,Number_correlation_POS,Number_correlation_NEG,fairnes_true
true_1_Model_1_avec_DC_logic_Filtrage_True_5_0,True,0,1,True,True,0.9642857142857141,1,0,0.9541284403669721,0.9811320754716981,0.928571428571428,"[4, 52]",46,429,9.326086956521738,4.823197333116042,0,7,False
true_1_Model_1_avec_DC_logic_Filtrage_False_5_0,True,0,1,True,False,0.9714285714285711,1,0,0.9636363636363631,1.0,0.9298245614035081,"[83, 0]",53,529,9.981132075471699,4.8854445580444255,0,0,False
true_1_Model_1_avec_DC_logic_Filtrage_False_5_0,True,0,1,True,False,0.9714285714285711,1,0,0.9636363636363631,1.0,0.9298245614035081,"[4, 53]",53,529,9.981132075471699,4.8854445580444255,0,0,False
true_1_Model_2_sans_DC_logic_Filtrage_True_5_0,False,0,1,True,True,0.9642857142857141,1,0,0.9462365591397851,0.9777777777777771,0.9166666666666661,"[91, 1]",39,764,19.58974358974359,7.68187326485739,0,8,False
true_1_Model_2_sans_DC_logic_Filtrage_True_5_0,False,0,1,True,True,0.9642857142857141,1,0,0.9462365591397851,0.9777777777777771,0.9166666666666661,"[4, 44]",39,764,19.58974358974359,7.68187326485739,0,8,False
true_1_Model_2_sans_DC_logic_Filtrage_False_5_0,False,0,1,True,False,0.9642857142857141,1,0,0.9462365591397851,0.9777777777777771,0.9166666666666661,"[91, 1]",47,892,18.97872340425532,7.126484501423314,0,0,False
true_1_Model_2_sans_DC_logic_Filtrage_False_5_0,False,0,1,True,False,0.9642857142857141,1,0,0.9462365591397851,0.9777777777777771,0.9166666666666661,"[4, 44]",47,892,18.97872340425532,7.126484501423314,0,0,False
true_1_Model_2_avec_DC_logic_Filtrage_True_5_0,True,0,1,True,True,0.9642857142857141,1,0,0.9462365591397851,0.9777777777777771,0.9166666666666661,"[91, 1]",39,472,12.102564102564102,5.309859584771845,0,8,False
true_1_Model_2_avec_DC_logic_Filtrage_True_5_0,True,0,1,True,True,0.9642857142857141,1,0,0.9462365591397851,0.9777777777777771,0.9166666666666661,"[4, 44]",39,472,12.102564102564102,5.309859584771845,0,8,False
true_1_Model_2_avec_DC_logic_Filtrage_False_5_0,True,0,1,True,False,0.9642857142857141,1,0,0.9462365591397851,0.9777777777777771,0.9166666666666661,"[91, 1]",47,564,12.0,5.01062700454977,0,0,False
true_1_Model_2_avec_DC_logic_Filtrage_False_5_0,True,0,1,True,False,0.9642857142857141,1,0,0.9462365591397851,0.9777777777777771,0.9166666666666661,"[4, 44]",47,564,12.0,5.01062700454977,0,0,False
true_1_Model_3_sans_DC_logic_Filtrage_True_5_0,False,0,1,True,True,0.9571428571428571,1,0,0.9333333333333331,0.9333333333333331,0.9333333333333331,"[92, 3]",37,568,15.35135135135135,6.846645326574436,0,17,False
true_1_Model_3_sans_DC_logic_Filtrage_True_5_0,False,0,1,True,True,0.9571428571428571,1,0,0.9333333333333331,0.9333333333333331,0.9333333333333331,"[3, 42]",37,568,15.35135135135135,6.846645326574436,0,17,False
true_1_Model_3_sans_DC_logic_Filtrage_False_5_0,False,0,1,True,False,0.9571428571428571,1,0,0.9347826086956521,0.955555555555555,0.914893617021276,"[91, 2]",48,832,17.333333333333332,7.024757805235867,0,0,False
true_1_Model_3_sans_DC_logic_Filtrage_False_5_0,False,0,1,True,False,0.9571428571428571,1,0,0.9347826086956521,0.955555555555555,0.914893617021276,"[4, 43]",48,832,17.333333333333332,7.024757805235867,0,0,False
true_1_Model_3_avec_DC_logic_Filtrage_True_5_0,True,0,1,True,True,0.9571428571428571,1,0,0.9333333333333331,0.9333333333333331,0.9333333333333331,"[92, 3]",37,358,9.675675675675675,4.696485483296391,0,17,False
true_1_Model_3_avec_DC_logic_Filtrage_True_5_0,True,0,1,True,True,0.9571428571428571,1,0,0.9333333333333331,0.9333333333333331,0.9333333333333331,"[3, 42]",37,358,9.675675675675675,4.696485483296391,0,17,False
true_1_Model_3_avec_DC_logic_Filtrage_False_5_0,True,0,1,True,False,0.9571428571428571,1,0,0.9347826086956521,0.955555555555555,0.914893617021276,"[91, 2]",48,562,11.708333333333334,5.898298954406732,0,0,False
true_1_Model_3_avec_DC_logic_Filtrage_False_5_0,True,0,1,True,False,0.9571428571428571,1,0,0.9347826086956521,0.955555555555555,0.914893617021276,"[4, 43]",48,562,11.708333333333334,5.898298954406732,0,0,False
true_1_Model_4_sans_DC_logic_Filtrage_True_5_0,False,0,1,True,True,0.9571428571428571,1,0,0.9387755102040811,0.958333333333333,0.92,"[88, 2]",44,627,14.25,7.911800737448518,0,9,False
true_1_Model_4_sans_DC_logic_Filtrage_True_5_0,False,0,1,True,True,0.9571428571428571,1,0,0.9387755102040811,0.958333333333333,0.92,"[4, 46]",44,627,14.25,7.911800737448518,0,9,False
true_1_Model_4_sans_DC_logic_Filtrage_False_5_0,False,0,1,True,False,0.9571428571428571,1,0,0.9387755102040811,0.958333333333333,0.92,"[88, 2]",53,771,14.547169811320755,7.238695905004324,0,0,False
